source,query_id,passage_num,doc_idx,is_gt_doc,doc_type,logprob_degradation,fact_degradation,layer_0_drift,layer_16_drift,layer_32_drift,is_causally_important,baseline_fact_score,baseline_correct,baseline_logprob,is_positive_doc
sweep,6,10.0,2,True,ground-truth,-29.875,1,0.0,2.1862682996120313,24.34435834600796,True,1,True,-7.625,
sweep,7,10.0,0,False,counter-factual,-0.875,0,0.0,1.030806639745157,12.98616818534571,False,0,False,-4.4375,
sweep,7,10.0,1,False,counter-factual,-0.40625,0,0.0,0.6879769105103161,6.613218668691193,False,0,False,-4.4375,
sweep,7,10.0,2,False,counter-factual,-1.0,0,0.0,0.6257671922251463,7.0595866092722686,False,0,False,-4.4375,
sweep,7,10.0,3,False,counter-factual,0.0,0,0.0,0.6305234081772265,7.696742331944637,False,0,False,-4.4375,
sweep,7,10.0,4,False,counter-factual,0.640625,0,0.0,0.8884333715230737,10.372429601031676,False,0,False,-4.4375,
sweep,7,10.0,5,False,counter-factual,-0.9375,0,0.0,0.6979141130138519,7.3888035445705205,False,0,False,-4.4375,
sweep,7,10.0,6,False,counter-factual,-0.25,0,0.0,0.3510556711222205,3.4353821993639198,False,0,False,-4.4375,
sweep,7,10.0,7,False,counter-factual,-0.25,0,0.0,0.4700168774136147,5.300153075995977,False,0,False,-4.4375,
sweep,7,10.0,8,True,ground-truth,0.21875,0,0.0,0.47229079939294694,4.862796834182357,False,0,False,-4.4375,
sweep,7,10.0,9,False,counter-factual,-0.75,0,0.0,0.6240845529050032,6.596268672933972,False,0,False,-4.4375,
sweep,8,10.0,0,False,counter-factual,-4.1875,0,0.0,1.163936934873709,11.465020607566789,True,0,False,-8.25,
sweep,8,10.0,1,False,counter-factual,-1.6875,0,0.0,0.4923486094748855,5.951835273339999,False,0,False,-8.25,
sweep,8,10.0,2,False,counter-factual,-0.875,0,0.0,0.42226188959917854,5.893797697718678,False,0,False,-8.25,
sweep,8,10.0,3,False,counter-factual,-1.0,0,0.0,0.3813219968682268,4.869568717490275,False,0,False,-8.25,
sweep,8,10.0,4,False,counter-factual,-2.0625,0,0.0,0.6202928755373519,8.046590069801965,True,0,False,-8.25,
sweep,8,10.0,5,False,counter-factual,-1.0,0,0.0,0.8245565567377311,8.174406205824386,False,0,False,-8.25,
sweep,8,10.0,6,False,counter-factual,-0.625,0,0.0,0.4014239533108144,4.3609242851389975,False,0,False,-8.25,
sweep,8,10.0,7,True,ground-truth,-0.9375,0,0.0,0.3918865937114141,4.30164725969428,False,0,False,-8.25,
sweep,8,10.0,8,False,counter-factual,-0.3125,0,0.0,0.3988658989296209,4.579168557271945,False,0,False,-8.25,
sweep,9,10.0,0,False,counter-factual,0.5859375,0,0.0,1.8681143651117198,16.613052562895064,False,0,False,-0.99609375,
sweep,9,10.0,1,False,counter-factual,0.1484375,0,0.0,0.6030649888397366,9.405189848398232,False,0,False,-0.99609375,
sweep,9,10.0,2,True,ground-truth,-4.19140625,0,0.0,0.6915451542260137,11.269236948553873,True,0,False,-0.99609375,
sweep,9,10.0,3,False,counter-factual,-0.92578125,-1,0.0,2.17530530281213,20.09088464761556,True,0,False,-0.99609375,
en_refine,0,,0,,unknown,-1.0,0,0.0,0.49932744321543376,5.442007526022852,False,1,True,-4.53125,
en_refine,0,,1,,unknown,0.0,0,0.0,0.3673241383989569,3.9178326950839346,False,1,True,-4.53125,
en_refine,0,,2,,unknown,-0.125,0,0.0,0.29614205767497803,3.9059623581686505,False,1,True,-4.53125,
en_refine,0,,3,,unknown,0.0,0,0.0,0.3529446473280948,3.334972242833339,False,1,True,-4.53125,
en_refine,0,,4,,unknown,0.0,0,0.0,0.3529446473280948,3.334972242833339,False,1,True,-4.53125,
en_refine,0,,5,,unknown,0.28125,0,0.0,0.28960175963263607,3.294047595981394,False,1,True,-4.53125,
en_refine,0,,6,,unknown,0.0625,0,0.0,0.296599013468382,3.3194990555105983,False,1,True,-4.53125,
en_refine,0,,7,,unknown,0.609375,0,0.0,0.35038936816493077,3.6446103819737625,False,1,True,-4.53125,
en_refine,0,,8,,unknown,-0.09375,0,0.0,0.16865320599644282,1.8191841513844726,False,1,True,-4.53125,
en_refine,0,,9,,unknown,-0.1875,0,0.0,0.398419068980515,3.810083259148693,False,1,True,-4.53125,
en_refine,0,,10,,unknown,0.28125,0,0.0,0.47926936950603727,4.623460057272055,False,1,True,-4.53125,
en_refine,0,,11,,unknown,0.125,0,0.0,0.33832600510292304,3.1864908089863158,False,1,True,-4.53125,
en_refine,0,,12,,unknown,-0.03125,0,0.0,0.34015393165521324,3.118520000573641,False,1,True,-4.53125,
en_refine,0,,13,,unknown,0.15625,0,0.0,0.29564916255369605,3.0252301636491,False,1,True,-4.53125,
en_refine,0,,14,,unknown,0.125,0,0.0,0.32594003414773487,3.0858558207274087,False,1,True,-4.53125,
en_refine,0,,15,,unknown,0.0625,0,0.0,0.38181044406723375,3.7025312395396694,False,1,True,-4.53125,
en_refine,0,,16,,unknown,-0.03125,0,0.0,0.344052826733399,3.2676193341886735,False,1,True,-4.53125,
en_refine,0,,17,,unknown,0.0,0,0.0,0.13480952810621094,1.5486473230762088,False,1,True,-4.53125,
en_refine,0,,18,,unknown,-0.15625,0,0.0,0.40078955664330307,4.0885907206739045,False,1,True,-4.53125,
en_refine,0,,19,,unknown,-0.34375,0,0.0,0.4760104940024988,4.122862404370474,False,1,True,-4.53125,
